,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,threshold,alpha_h,alpha_p,train_dataset_accuracy,test_dataset_accuracy
0,2,0.55,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.55,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.55,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.55,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.775,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.775,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.775,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.775,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.775,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,1.0,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,1.0,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,1.0,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,1.0,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,1.0,0.3775,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.1,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.1,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.1,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.1,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.1,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.325,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.325,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.325,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.325,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.325,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.55,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.55,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.55,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.55,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.55,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.775,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.775,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.775,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.775,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.775,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,1.0,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,1.0,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,1.0,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,1.0,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,1.0,0.5,1,0.01,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.1,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.1,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.1,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.1,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.1,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.325,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.325,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.325,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.325,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.325,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.55,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.55,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.55,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.55,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.55,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.775,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.775,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.775,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.775,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.775,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,1.0,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,1.0,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,1.0,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,1.0,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,1.0,0.01,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.1,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.1,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.1,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.1,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.1,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.325,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.325,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.325,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.325,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.325,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.55,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.55,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.55,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.55,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.55,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,0.775,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,0.775,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,3,0.775,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,4,0.775,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,5,0.775,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,1,1.0,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
0,2,1.0,0.1325,1,0.2575,0.5603543743078626,1.0,0.0,0.716486048945417,0.5603543743078626,0.028658430295326685,0.0,0.0,0.023878904183655143,0.028658430295326685,0.5238095238095238,1.0,0.0,0.6875000000000001,0.5238095238095238,13.766633972956887,1.0,1.0,0.7991 (171/214),0.4762 (20/42)
