,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,threshold,alpha_h,alpha_p,train_dataset_accuracy,test_dataset_accuracy
0,2,0.1,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.1,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.1,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.1,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.325,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.325,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.325,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.325,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.325,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.55,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.55,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.55,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.55,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.55,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.775,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.775,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.775,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.775,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.775,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,1.0,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,1.0,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,1.0,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,1.0,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,1.0,0.5,1,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.1,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.1,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.1,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.1,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.1,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.325,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.325,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.325,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.325,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.325,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.55,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.55,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.55,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.55,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.55,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.775,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.775,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.775,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.775,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.775,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,1.0,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,1.0,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,1.0,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,1.0,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,1.0,0.01,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.1,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.1,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.1,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.1,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.1,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.325,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.325,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.325,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.325,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.325,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.55,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.55,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.55,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.55,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.55,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.775,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.775,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.775,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.775,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.775,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,1.0,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,1.0,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,1.0,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,1.0,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,1.0,0.1325,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.1,0.255,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.1,0.255,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.1,0.255,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.1,0.255,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,5,0.1,0.255,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,1,0.325,0.255,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,2,0.325,0.255,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,3,0.325,0.255,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
0,4,0.325,0.255,2,0.505,0.46085946573751446,0.8,0.2,0.52198087431694,0.38768873403019743,0.026199166235768387,0.20000000000000004,0.20000000000000004,0.13087212157484235,0.09755088161929516,0.72,1.0,0.0,0.8372093023255813,0.72,10.7099060472,0.615848211066026,0.2976351441631317,0.5485 (113/206),1.0 (50/50)
